Emotion,ovr_f1_mean,ovr_accuracy_mean,rakel_f1_mean,rakel_accuracy_mean
Anger,0.0,0.0,0.0,0.0
Fear,0.0,0.0,0.23087912087912094,0.13205128205128205
Interest,0.0,0.0,0.16565345839428153,0.09212820512820513
Joy,0.36363636363636365,0.22222222222222227,0.3873809523809523,0.24112933634992464
Love,0.5918367346938773,0.42028985507246375,0.5680983751147968,0.3973107740435847
None,0.4126984126984127,0.25999999999999995,0.5149289389156172,0.3472751362615406
Sadness,0.0,0.0,0.0,0.0
Surprise,0.0,0.0,0.2097354302222456,0.1186598754951896
Overall,0.17102143887858173,0.11281400966183575,0.2595845344883768,0.16606932616621584
