,f1,accuracy
Anger,5.720079435584486e-145,0.0
Fear,0.4072421498987835,0.47807313468437057
Interest,0.057217276437535755,0.05989904020116817
Joy,0.9999994537168377,0.9999980606639864
Love,0.999999996933393,0.9999999907087409
Sadness,6.953999948977337e-07,3.4964486252713153e-07
Surprise,0.09596924728861891,0.11362881739937496
