Emotion,ovr_f1_mean,ovr_accuracy_mean,rakel_f1_mean,rakel_accuracy_mean
Anger,0.23529411764705882,0.13333333333333333,0.0,0.0
Fear,0.22222222222222227,0.125,0.21406593406593402,0.12371794871794872
Interest,0.31372549019607837,0.18604651162790695,0.3002737830393559,0.17687749287749288
Joy,0.125,0.06666666666666667,0.4255944055944056,0.2734343434343434
Love,0.39999999999999997,0.25,0.6017729215229215,0.43099242764429546
Sadness,0.30769230769230765,0.18181818181818185,0.03636363636363636,0.02
Surprise,0.2765957446808511,0.16049382716049385,0.24435131422473783,0.14094643612259802
Overall,0.26864712606264546,0.15762264580094038,0.26034599925871305,0.16656694982809692
