,f1,accuracy
Anger,,
Fear,0.9030908346845169,0.9090845224793793
Interest,0.9999999997030075,0.9999999991684555
Joy,0.9791707774950871,0.9817089722114801
Love,0.5708472608134436,0.5946343108011167
Sadness,0.9160746719714626,0.9160746719714626
Surprise,0.9999989766036728,0.9999968623374352
