Emotion,ovr_f1_var,ovr_accuracy_var,rakel_f1_var,rakel_accuracy_var
Anger,0.0,0.0,0.0,0.0
Fear,0.0,0.0,0.011485499306012127,0.003764921946740129
Interest,0.0,0.0,0.002929273624951705,0.0008294307301307359
Joy,0.0,0.0,0.005047640954400863,0.0026031464842006156
Love,0.0,0.0,0.0011784507244049839,0.001193441650767412
None,0.0,0.0,0.00225929889306577,0.001745180088415624
Sadness,0.0,0.0,0.0,0.0
Surprise,0.0,0.0,0.004317979818238402,0.0015510208352735601
Overall,0.0,0.0,0.0034022679151342315,0.0014608927169410095
