run,ovr_sec,rakel_sec
1,0.06,0.062
2,0.034,0.057
3,0.035,0.058
4,0.037,0.057
5,0.034,0.074
6,0.035,0.058
7,0.036,0.058
8,0.035,0.057
9,0.035,0.058
10,0.035,0.057
